#tag	x_m	y_m	Z_Top_Tikuna
bordo_N	4660388.9	9889850.3	96.71
bordo_N	4728687.1	9805506	38.54
bordo_N	4793057.6	9745990.9	-32.4
bordo_N	4853712.3	9721941.9	-51.39
bordo_N	4941615.3	9718989.9	-66.79
bordo_N	5057710.6	9742073.9	-89.19
bordo_N	5144748.7	9779219.1	-71.35
bordo_N	5220577.1	9800252.2	-19.41
bordo_N	5323682.1	9800113.5	-57.84
bordo_N	5472017.2	9791909.4	-73.14
bordo_N	5594938.2	9780508.5	-10.33
bordo_N	5689234	9769780.5	-45.59
bordo_N	5766521.1	9760114	25.06
bordo_S	5689272.4	9231230.1	40.3
bordo_S	5618778	9213771.8	10.33
bordo_S	5518329.2	9201508.3	7.58
bordo_S	5435415.7	9195127.4	-38.06
bordo_S	5338821.5	9183295.3	-45
bordo_S	5308773.1	9198599.8	-66.88
bordo_S	5216757.5	9236953.7	-111.14
bordo_S	5134877.2	9272396.3	-639.8
bordo_S	5057819.6	9302422.4	-288.8
bordo_S	5001507	9312780.4	-346.8
bordo_S	4962050.1	9273313.4	-321.3
bordo_S	4933201.9	9208837.3	-270.6
bordo_S	4896259	9120416.4	-255.1
bordo_S	4870283.1	9037354.3	-316.6
bordo_S	4852889.4	8958306.5	-263.8
bordo_S	4857548.8	8910237.2	-190.63
bordo_S	4890691.8	8885161.1	-105.37
bordo_S	4940038.6	8874089.3	-103
bordo_S	5017776.3	8865592.1	-100
bordo_S	5101776.4	8824700.9	-167.2
bordo_E	5771342	9778542.2	34
bordo_E	5760101.3	9735573.8	27
bordo_E	5753472.6	9700980.4	34
bordo_E	5747376.9	9669002	29
bordo_E	5781835.7	9637704.8	29
bordo_E	5787728.3	9595283.3	32
bordo_E	5809581.7	9548714.6	35
bordo_E	5861153	9509615.1	100
bordo_E	5923715.2	9478887.5	100
bordo_E	5938100.7	9465715.1	55
bordo_E	5941323.6	9449785.3	81
bordo_E	5903640.3	9401117.9	90
bordo_E	5888069	9386449.2	47
bordo_E	5872429.7	9354339	51
bordo_E	5836743.2	9322946.2	64
bordo_E	5724527.8	9297504.4	89
bordo_E	5711910.5	9289710	59
bordo_E	5717943.6	9268372	62
bordo_E	5734304.1	9245043.2	65
bordo_W	5031874.2	8768711.4	35
bordo_W	4979498.6	8761828.3	-130
bordo_W	4917233.2	8772964.6	-10
bordo_W	4848822.4	8770064.7	5
bordo_W	4769052.4	8791309.4	62
bordo_W	4714494.6	8778836.1	57
bordo_W	4651760.4	8772710.6	62
bordo_W	4635254.9	8702164.5	499
bordo_W	4607075.6	8679632.4	387
bordo_W	4564769.1	8647954	982
bordo_W	4524358.7	8705067.9	834
bordo_W	4483693.9	8742743.5	394
bordo_W	4432470.6	8864026.4	548
bordo_W	4400062.7	8923613.4	1027
bordo_W	4310357.9	8918234.6	346
bordo_W	4270713.7	8990504.8	679
bordo_W	4249464.1	9090403.1	917
bordo_W	4258004.7	9155252.1	898
bordo_W	4232439.2	9208328.3	446
bordo_W	4250503.2	9266948.5	387
bordo_W	4190052.2	9291830.1	471
bordo_W	4161243.8	9319258.9	592
bordo_W	4141177.4	9365490.7	658
bordo_W	4103257.8	9404084.3	407
bordo_W	4049260.5	9429008.6	299
bordo_W	4025508.4	9468643.5	632
bordo_W	4050081.2	9507040.7	375
bordo_W	4041336.4	9594019.1	500
bordo_W	4018050.3	9663710	418
bordo_W	4025902.3	9772829.4	593
bordo_W	3991453.5	9811437.5	2097
bordo_W	3984816.1	9842295.2	2159
bordo_W	4006829.5	9875872	622
bordo_W	4019337.5	9924884.9	1559
bordo_W	4030029.8	9949296.2	2817
bordo_W	4037357.1	10008271	1331
bordo_W	4070444.5	10043685	1000
bordo_W	4097107.6	10081792	1120
bordo_W	4146000.4	10131670	1328
bordo_W	4201054.8	10141461	311
bordo_W	4254348.4	10177123	220
bordo_W	4301249.9	10183532	340
bordo_W	4336466.1	10227315	360
bordo_W	4353941.3	10288203	877
bordo_W	4381407.3	10283925	540
bordo_W	4387429.6	10257206	306
bordo_W	4432532.9	10232916	140
bordo_W	4489979.2	10212704	43
bordo_W	4525937.7	10195239	16
bordo_W	4540747.7	10168490	460
bordo_W	4520600.6	10098651	150
bordo_W	4518549.3	10049620	140
bordo_W	4524537.8	10000682	-118
bordo_W	4525397.8	9959246.5	-103
bordo_W	4541981.2	9942732.3	-102
bordo_W	4565024.5	9941561.3	-103
bordo_W	4590026.4	9893058.4	-152
bordo_W	4628596.1	9884924.5	-145
bordo_W	4675987.4	9892267.1	-145
1AJ0001	5283464.02	9449092.59	-366
1ANG0001	5416184.57	9439347.23	-267
2BTST0001	4894705.88	9513853.82	-264
1BV0001	5397582.76	9535524.13	-243
1CAT0001	5458702.96	9492851.73	-246.8
1CI0001	5244207.25	9453701.51	-339
1CP0001	5388090.56	9452719.60	-285
1CR0001	5456767.58	9513946.04	-231.5
1CRP0001	5395473.61	9440015.69	-297
2CSST0001	5643278.24	9546161.08	-89
1CUP0001	5401443.10	9444592.32	-298.9
2EPST0001	4911297.82	9259747.45	-262
2FBST0001	5324362.99	9610540.21	-240
2FBST0002	5330489.78	9635588.65	-185.4
